player_id,player_name,poss,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans,net_rapm_full,net_rapm_reconstructed,residual,absresid
1630096,DiJonai Carrington,2592,0.000693838,0.001865286,0.008396615,0.001978357,-0.002434984,0.005407231,0.003942171,0.004678424,-0.165,0.500435284,-0.665435284,
1642291,Angel Reese,2145,-0.002966617,0.000905838,0.016051378,0.011205931,0.001195897,-0.002501608,0.002662015,-0.005579199,0.527,0.441928709,0.085071291,
1631141,Jade Melbourne,1471,0.004722882,0.005596018,0.002233197,-0.005192439,0.000422153,0.007599505,-0.00579163,0.005843307,0.196,0.433195942,-0.237195942,
1642298,Celeste Taylor,647,0.003018545,0.000363434,-0.001437756,-0.002792115,0.005299391,-0.003415329,-0.004459173,0.003072413,-0.352,0.399342175,-0.751342175,
1630149,Satou Sabally,671,0.001634158,0.000618028,0.008911345,0.004975309,-0.004625836,-0.001575135,0.010044086,-0.004029516,1.343,0.382872973,0.960127027,
1629568,Kennedy Burke,817,-0.007166977,-0.000361872,-6.14E-05,-0.002864523,0.011130461,0.003728668,-0.006240568,0.007312974,-0.028,0.362251007,-0.390251007,
1629480,Kalani Brown,595,0.003314406,0.003915753,0.00419883,-0.000946547,0.002385788,-0.001262805,-0.001962759,1.45E-05,1.166,0.353780742,0.812219258,
204365,Erica Wheeler,1366,-0.002569356,4.92E-05,0.005828413,0.000547193,0.007095708,-0.003584992,-0.003228063,0.004344096,0.107,0.284229675,-0.177229675,
1631044,Naz Hillmon,1811,-0.004891595,-0.002627988,0.000690452,-0.000802231,0.004111999,0.002223817,0.000189125,0.000866195,0.699,0.276618156,0.422381844,
1642244,Sevgi Uzun,1441,-0.000362181,0.002094783,0.002649093,-0.006387988,0.002942379,0.000270103,0.000619902,-0.001635794,-0.637,0.267879447,-0.904879447,
1631032,Lorela Cubaj,695,0.004299542,-0.000992144,-0.000267021,-0.008141248,-3.97E-05,-0.001980394,-0.00242714,-0.001428965,0.29,0.256211145,0.033788855,
1628263,Lindsay Allen,1972,-0.002236121,3.31E-05,0.009894985,0.003500342,0.004390159,-0.007076661,0.000401801,-0.005821723,0.202,0.234573947,-0.032573947,
1627676,Tiffany Mitchell,882,-0.001831234,-0.003157641,-0.000891696,0.013469808,0.001967813,0.001507152,-0.004541792,-0.000394881,0.438,0.201870671,0.236129329,
204319,Jewell Loyd,2764,-0.002439378,0.000151301,-0.003131777,0.002098307,0.006197871,0.002862777,-0.005296668,0.006639745,0.304,0.183416095,0.120583905,
1630471,Maya Caldwell,943,0.003431083,0.00558506,0.003869386,-0.002767441,-0.001388366,-0.004215243,0.008370629,-0.01100913,0.075,0.181664661,-0.106664661,
204322,Elizabeth Williams,528,-0.003042259,0.001231212,0.006192153,0.00289793,-9.60E-05,0.007301829,-0.001189823,0.003949733,-0.592,0.173912533,-0.765912533,
1641661,Lou Lopez Senechal,346,0.00014556,-0.002162323,0.002641345,0.002115675,0.000143529,0.000931842,-0.003669927,0.000806655,-0.29,0.163721509,-0.453721509,
1628279,Brittney Sykes,996,-0.002961764,0.001126264,-0.006340274,-0.002985151,0.004167079,0.003003237,0.003411384,0.000426954,-0.406,0.159753021,-0.565753021,
1631055,Nyara Sabally,771,-0.004278768,-0.000135516,0.003501055,0.000187998,0.002118424,0.004719302,-0.000138615,0.004518492,0.694,0.126661073,0.567338927,
1628882,Lexie Brown,967,0.000657067,0.000822933,0.000853953,0.004446135,0.001542427,-0.001761625,-0.000329609,-0.000214064,0.302,0.09669371,0.20530629,
1628886,Jordin Canada,1076,-0.0017161,-0.002560684,-0.003238025,-0.002738664,-0.000410754,-0.000893787,0.005640255,-0.005448051,-0.458,0.040256417,-0.498256417,
1631135,Olivia Nelson-Ododa,1117,0.001505525,0.001089305,0.003405751,0.001995315,-0.000936664,0.003244775,-0.006502585,-0.000508751,0.777,0.012226626,0.764773374,
1628278,Shatori Walker-Kimbrough,2207,0.004294899,0.009316069,-0.006682483,-0.012088185,0.002617177,0.003440469,0.001766634,0.005373353,0.137,0.006225318,0.130774682,
1629478,Katie Lou Samuelson,1760,0.001452689,0.002889249,0.005206037,0.001651305,-0.001145125,-0.003317431,0.002793333,-0.00851717,0.168,-0.001772944,0.169772944,
