game_id,poss_id,off_team,def_team,points,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5
1022001001,128,1611661313,1611661328,0,204320,204329,1629477,1630131,1630139,100720,202259,1627668,1628244,1629496
1022001001,129,1611661328,1611661313,2,202259,1627668,1628244,1628886,1629496,204320,204329,1629477,1630131,1630139
1022001001,130,1611661313,1611661328,0,203406,204329,1629477,1630131,1630139,1627668,1628244,1628886,1628920,1629496
1022001001,131,1611661328,1611661313,2,1627668,1628244,1628886,1628920,1629496,203406,204329,1629477,1630131,1630139
1022001001,132,1611661313,1611661328,2,203406,204329,1629477,1630131,1630139,1627668,1628244,1628886,1628920,1629496
1022001001,133,1611661328,1611661313,0,202259,1627668,1628244,1628886,1629496,203406,204320,204329,1630131,1630139
1022001001,134,1611661313,1611661328,0,203406,204320,204329,1630131,1630139,202259,1627668,1628244,1628886,1629496
1022001001,141,1611661328,1611661313,1,202259,203827,1628244,1628886,1628920,203406,204320,204329,1630131,1630139
1022001001,142,1611661313,1611661328,0,203406,204320,1630127,1630131,1630139,202259,203827,1628244,1628886,1628920
1022001001,143,1611661328,1611661313,2,202259,203827,1628244,1628886,1628920,203406,204320,1630127,1630131,1630139
1022001001,144,1611661313,1611661328,0,203406,1629477,1630127,1630131,1630139,202259,203827,1628244,1628886,1628920
1022001001,145,1611661328,1611661313,0,202259,203827,1628244,1628886,1628920,203406,204320,1630127,1630131,1630139
1022001001,148,1611661313,1611661328,0,1629477,1630115,1630127,1630131,1630139,202252,203827,204319,1628886,1628920
1022001001,149,1611661328,1611661313,2,202252,203827,204319,1628886,1628920,1629477,1630115,1630127,1630131,1630139
1022001001,150,1611661313,1611661328,0,1629477,1630115,1630127,1630131,1630139,202252,203827,204319,1628886,1628920
1022001001,151,1611661328,1611661313,0,202252,203827,204319,1628886,1628920,1629477,1630115,1630127,1630131,1630139
1022001001,152,1611661313,1611661328,0,1629477,1630115,1630127,1630131,1630139,202252,203827,204319,1627668,1628886
1022001001,153,1611661328,1611661313,0,202252,203827,204319,1627668,1628886,203406,1630115,1630127,1630131,1630139
1022001001,154,1611661313,1611661328,0,203406,1630115,1630127,1630131,1630139,202252,203827,204319,1627668,1628886
1022001001,155,1611661328,1611661313,3,202252,203827,204319,1627668,1628886,203406,204329,1630115,1630127,1630139
1022001001,156,1611661313,1611661328,3,203406,204329,1630115,1630127,1630139,202252,203827,204319,1627668,1628886
1022001001,157,1611661328,1611661313,2,202252,203827,204319,1627668,1628886,203406,204329,1630115,1630127,1630139
1022001001,158,1611661313,1611661328,3,203406,204329,1630115,1630127,1630139,202252,203827,204319,1627668,1628886
1022001001,159,1611661328,1611661313,0,202252,203827,204319,1627668,1628886,203406,204329,1630115,1630127,1630139
1022001001,160,1611661313,1611661328,0,203406,204329,1629477,1630127,1630139,202252,203827,204319,1627668,1628886
